Stock;Ticker;ISIN
Linde;LIN.DE;IE00BZ12WP82
SAP;SAP.DE;DE0007164600
Siemens;SIE.DE;DE0007236101
Volkswagen;VOW.DE;DE0007664039
Allianz;ALV.DE;DE0008404005
Airbus;AIR.DE;NL0000235190
Deutsche_Telekom;DTE.DE;DE0005557508
Merck;MRK.DE;DE0006599905
Mercedes_Benz_Group;DAI.DE;DE0007100000
Siemens_Healthineers;SHL.DE;DE000SHL1006
Bayer;BAYN.DE;DE000BAY0017
Deutsche_Post;DPW.DE;DE0005552004
BASF;BAS.DE;DE000BASF111
BMW;BMW.DE;DE0005190003
Adidas;ADS.DE;DE000A1EWWW0
Infineon;IFX.DE;DE0006231004
Vonovia;VNA.DE;DE000A1ML7J1
Muenchener_Rueck;MUV2.DE;DE0008430026
Deutsche_Boerse;DB1.DE;DE0005810055
E_ON;EOAN.DE;DE000ENAG999
Henkel;HEN3.DE;DE0006048432
Sartorius;SRT.DE;DE0007165631
RWE;RWE.DE;DE0007037129
Porsche;PAH3.DE;DE000PAH0038
Deutsche_Bank;DBK.DE;DE0005140008
Fresenius;FRE.DE;DE0005785604
Fresenius_Medical_Care;FME.DE;DE0005785802
Hannover_Rueck;HNR1.DE;DE0008402215
Symrise;SY1.DE;DE000SYM9999
Continental;CON.DE;DE0005439004
Zalando;ZAL.DE;DE000ZAL1111
Puma;PUM.DE;DE0006969603
Brenntag;BNR.DE;DE000A1DAHH0
Delivery_Hero;DHER.DE;DE000A2E4K43
MTU_Aero_Engines;MTX.DE;DE000A0D9PT0
HeidelbergCement;HEI.DE;DE0006047004
Qiagen;QIA.DE;NL0012169213
Covestro;1COV.DE;DE0006062144
HelloFresh;HFG.DE;DE000A161408
Daimler_Truck;DAI.DE;DE000DTR0CK8










